source_id,source_dataset,source_queue,source_type,source_priority,subject_es,body_es,texto,expected_area,expected_intent,expected_urgency,expected_human,expected_security_legal,expected_refund,expected_actionability,expected_technical_repro,expected_route,curation_note,evaluation_split
hf-row-013455,Tobi-Bueck/customer-support-tickets,Product Support,Request,medium,Los datos de un reporte no coinciden,El contenido de un reporte no coincide con la información esperada.,"Los datos de un reporte no coinciden
El contenido de un reporte no coincide con la información esperada.",tecnologia,incidencia,high,True,False,False,clarification,True,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-005687,Tobi-Bueck/customer-support-tickets,Returns and Exchanges,Incident,low,Faltó un componente,El paquete no incluye un componente y solicito completar la entrega.,"Faltó un componente
El paquete no incluye un componente y solicito completar la entrega.",logistica,reclamo,medium,True,False,True,clarification,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-015088,Tobi-Bueck/customer-support-tickets,Sales and Pre-Sales,Incident,low,Necesito comparar dos opciones,Quisiera comparar dos opciones antes de tomar una decisión.,"Necesito comparar dos opciones
Quisiera comparar dos opciones antes de tomar una decisión.",ventas,consulta,medium,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-019914,Tobi-Bueck/customer-support-tickets,Service Outages and Maintenance,Request,high,Sistema no disponible para varios usuarios,Varias personas no pueden usar el sistema desde hace un tiempo.,"Sistema no disponible para varios usuarios
Varias personas no pueden usar el sistema desde hace un tiempo.",tecnologia,incidencia,high,True,False,False,immediate_action,True,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-012245,Tobi-Bueck/customer-support-tickets,Technical Support,Request,medium,La aplicación se cierra inesperadamente,La aplicación se cierra inesperadamente al abrir un módulo.,"La aplicación se cierra inesperadamente
La aplicación se cierra inesperadamente al abrir un módulo.",tecnologia,incidencia,high,True,False,False,immediate_action,True,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-008377,Tobi-Bueck/customer-support-tickets,Billing and Payments,Request,medium,La cantidad facturada no coincide,El importe de la factura no coincide con el detalle de la compra y necesito una revisión.,"La cantidad facturada no coincide
El importe de la factura no coincide con el detalle de la compra y necesito una revisión.",pagos,incidencia,medium,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-001219,Tobi-Bueck/customer-support-tickets,Customer Service,Request,medium,Sugerencia para mejorar la atención,La atención fue clara; comparto una sugerencia para explicar mejor el siguiente paso.,"Sugerencia para mejorar la atención
La atención fue clara; comparto una sugerencia para explicar mejor el siguiente paso.",atencion_cliente,retroalimentacion,low,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-007288,Tobi-Bueck/customer-support-tickets,General Inquiry,Incident,high,Necesito orientación sobre una herramienta,Quisiera entender las opciones de una herramienta antes de elegir una.,"Necesito orientación sobre una herramienta
Quisiera entender las opciones de una herramienta antes de elegir una.",otro,consulta,medium,True,False,False,clarification,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-000568,Tobi-Bueck/customer-support-tickets,Human Resources,Request,medium,Necesito confirmar responsable de una gestión,No está claro qué responsable debe revisar una gestión de personas.,"Necesito confirmar responsable de una gestión
No está claro qué responsable debe revisar una gestión de personas.",rrhh,consulta,low,True,False,False,clarification,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-017579,Tobi-Bueck/customer-support-tickets,IT Support,Problem,medium,Integración no sincroniza,La integración deja de sincronizar después de guardar un cambio.,"Integración no sincroniza
La integración deja de sincronizar después de guardar un cambio.",tecnologia,incidencia,medium,False,False,False,standard_action,True,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-010959,Tobi-Bueck/customer-support-tickets,Product Support,Incident,low,Cómo configurar una opción,No está claro cómo configurar una opción del producto.,"Cómo configurar una opción
No está claro cómo configurar una opción del producto.",tecnologia,consulta,low,True,False,False,clarification,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-003874,Tobi-Bueck/customer-support-tickets,Returns and Exchanges,Incident,medium,Quiero cambiar un artículo,Solicito cambiar un artículo por otro del mismo tipo.,"Quiero cambiar un artículo
Solicito cambiar un artículo por otro del mismo tipo.",logistica,solicitud,low,False,False,True,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-001680,Tobi-Bueck/customer-support-tickets,Sales and Pre-Sales,Request,low,Solicito una propuesta comercial,Pido preparar una propuesta comercial con el alcance indicado.,"Solicito una propuesta comercial
Pido preparar una propuesta comercial con el alcance indicado.",ventas,solicitud,medium,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-008967,Tobi-Bueck/customer-support-tickets,Service Outages and Maintenance,Incident,medium,Caída intermitente,El sistema funciona de forma intermitente y algunas funciones no responden.,"Caída intermitente
El sistema funciona de forma intermitente y algunas funciones no responden.",tecnologia,incidencia,medium,False,False,False,standard_action,True,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-016870,Tobi-Bueck/customer-support-tickets,Technical Support,Incident,high,Error en la exportación,La exportación falla después de seleccionar un periodo.,"Error en la exportación
La exportación falla después de seleccionar un periodo.",tecnologia,incidencia,medium,False,False,False,standard_action,True,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-003651,Tobi-Bueck/customer-support-tickets,Billing and Payments,Problem,medium,Necesito actualizar datos de facturación,Solicito corregir un dato administrativo de la próxima factura antes de emitirla.,"Necesito actualizar datos de facturación
Solicito corregir un dato administrativo de la próxima factura antes de emitirla.",pagos,solicitud,low,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-018527,Tobi-Bueck/customer-support-tickets,Customer Service,Incident,medium,No encontré la información solicitada,La información disponible no aclara el siguiente paso y pido orientación.,"No encontré la información solicitada
La información disponible no aclara el siguiente paso y pido orientación.",atencion_cliente,consulta,low,True,False,False,clarification,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-001711,Tobi-Bueck/customer-support-tickets,General Inquiry,Change,medium,Consulta sobre una configuración disponible,¿Qué opciones de configuración están disponibles para este proceso?,"Consulta sobre una configuración disponible
¿Qué opciones de configuración están disponibles para este proceso?",tecnologia,consulta,low,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-000220,Tobi-Bueck/customer-support-tickets,Human Resources,Change,low,Orientación para nuevo colaborador,Solicito orientación sobre el proceso de incorporación de una nueva persona.,"Orientación para nuevo colaborador
Solicito orientación sobre el proceso de incorporación de una nueva persona.",rrhh,solicitud,low,True,False,False,clarification,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-014412,Tobi-Bueck/customer-support-tickets,IT Support,Change,high,El sistema responde lentamente,Una función del sistema tarda demasiado y afecta el trabajo diario.,"El sistema responde lentamente
Una función del sistema tarda demasiado y afecta el trabajo diario.",tecnologia,incidencia,medium,False,False,False,standard_action,True,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-006170,Tobi-Bueck/customer-support-tickets,Product Support,Request,low,Solicito habilitar una función,Pido habilitar una función que está disponible en la configuración.,"Solicito habilitar una función
Pido habilitar una función que está disponible en la configuración.",tecnologia,solicitud,low,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-009719,Tobi-Bueck/customer-support-tickets,Returns and Exchanges,Problem,high,El seguimiento no muestra el envío,El seguimiento no muestra el envío después de la fecha prevista.,"El seguimiento no muestra el envío
El seguimiento no muestra el envío después de la fecha prevista.",logistica,incidencia,medium,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-012694,Tobi-Bueck/customer-support-tickets,Sales and Pre-Sales,Request,low,Pregunta sobre condiciones de una promoción,¿Qué condiciones aplican a una promoción disponible?,"Pregunta sobre condiciones de una promoción
¿Qué condiciones aplican a una promoción disponible?",ventas,consulta,low,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-008358,Tobi-Bueck/customer-support-tickets,Service Outages and Maintenance,Change,high,Incidente de rendimiento,El rendimiento del sistema se deterioró y afecta el trabajo diario.,"Incidente de rendimiento
El rendimiento del sistema se deterioró y afecta el trabajo diario.",tecnologia,incidencia,high,True,False,False,immediate_action,True,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-007049,Tobi-Bueck/customer-support-tickets,Technical Support,Incident,high,Sincronización detenida,La sincronización se detuvo y los cambios no llegan al destino esperado.,"Sincronización detenida
La sincronización se detuvo y los cambios no llegan al destino esperado.",tecnologia,incidencia,high,False,False,False,immediate_action,True,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-010918,Tobi-Bueck/customer-support-tickets,Billing and Payments,Change,medium,Cargo adicional no reconocido,Aparece un cargo adicional que no reconozco y solicito una revisión del cobro.,"Cargo adicional no reconocido
Aparece un cargo adicional que no reconozco y solicito una revisión del cobro.",pagos,reclamo,high,True,False,True,immediate_action,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-009481,Tobi-Bueck/customer-support-tickets,Customer Service,Incident,low,Necesito confirmar una cita,Solicito confirmar una cita de atención; todavía no está claro qué datos hacen falta.,"Necesito confirmar una cita
Solicito confirmar una cita de atención; todavía no está claro qué datos hacen falta.",atencion_cliente,solicitud,medium,True,False,False,clarification,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-018939,Tobi-Bueck/customer-support-tickets,General Inquiry,Incident,low,Información sobre un reporte,Solicito información sobre cómo preparar un reporte y qué datos requiere.,"Información sobre un reporte
Solicito información sobre cómo preparar un reporte y qué datos requiere.",tecnologia,consulta,low,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-019797,Tobi-Bueck/customer-support-tickets,Human Resources,Request,low,Duda sobre una etapa de contratación,La documentación no aclara una etapa del proceso de contratación.,"Duda sobre una etapa de contratación
La documentación no aclara una etapa del proceso de contratación.",rrhh,consulta,low,True,False,False,clarification,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-000897,Tobi-Bueck/customer-support-tickets,IT Support,Incident,high,Acceso no autorizado detectado,Detecté un acceso no autorizado y necesito una revisión de seguridad hoy.,"Acceso no autorizado detectado
Detecté un acceso no autorizado y necesito una revisión de seguridad hoy.",seguridad,incidencia,critical,True,True,False,immediate_action,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-004271,Tobi-Bueck/customer-support-tickets,Product Support,Problem,high,Problema de rendimiento,El producto tarda más de lo normal al completar una operación.,"Problema de rendimiento
El producto tarda más de lo normal al completar una operación.",tecnologia,incidencia,high,True,False,False,clarification,True,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-011651,Tobi-Bueck/customer-support-tickets,Returns and Exchanges,Change,medium,Solicito un reemplazo,Pido recibir un reemplazo por un producto que no está en condiciones de uso.,"Solicito un reemplazo
Pido recibir un reemplazo por un producto que no está en condiciones de uso.",logistica,solicitud,medium,False,False,True,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-005283,Tobi-Bueck/customer-support-tickets,Sales and Pre-Sales,Problem,medium,Presupuesto para una nueva compra,Solicito un presupuesto para planificar una nueva compra.,"Presupuesto para una nueva compra
Solicito un presupuesto para planificar una nueva compra.",ventas,solicitud,low,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-005509,Tobi-Bueck/customer-support-tickets,Service Outages and Maintenance,Incident,high,Aviso de mantenimiento,Pido confirmar si una actualización afecta el uso del servicio.,"Aviso de mantenimiento
Pido confirmar si una actualización afecta el uso del servicio.",atencion_cliente,consulta,low,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-005663,Tobi-Bueck/customer-support-tickets,Technical Support,Incident,high,Consulta de compatibilidad,Pregunto si una configuración es compatible antes de conectarla.,"Consulta de compatibilidad
Pregunto si una configuración es compatible antes de conectarla.",tecnologia,consulta,low,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-006348,Tobi-Bueck/customer-support-tickets,Billing and Payments,Problem,medium,Pregunta sobre una factura de suscripción,¿Qué concepto corresponde al próximo cobro de una suscripción ya contratada?,"Pregunta sobre una factura de suscripción
¿Qué concepto corresponde al próximo cobro de una suscripción ya contratada?",pagos,consulta,low,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-007560,Tobi-Bueck/customer-support-tickets,Customer Service,Request,medium,Agradezco la ayuda recibida,El proceso fue sencillo y la respuesta llegó a tiempo; comparto un agradecimiento.,"Agradezco la ayuda recibida
El proceso fue sencillo y la respuesta llegó a tiempo; comparto un agradecimiento.",atencion_cliente,retroalimentacion,low,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-007256,Tobi-Bueck/customer-support-tickets,General Inquiry,Incident,high,Solicitud de actualización de información,Pido actualizar la información de un reporte antes de compartirlo.,"Solicitud de actualización de información
Pido actualizar la información de un reporte antes de compartirlo.",tecnologia,solicitud,medium,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-001877,Tobi-Bueck/customer-support-tickets,Human Resources,Incident,low,Revisión de requisitos de un proceso,Solicito revisar los requisitos de un proceso antes de enviar una solicitud.,"Revisión de requisitos de un proceso
Solicito revisar los requisitos de un proceso antes de enviar una solicitud.",rrhh,solicitud,medium,True,False,False,clarification,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-005268,Tobi-Bueck/customer-support-tickets,IT Support,Request,medium,Validar un cambio de configuración,Solicito validar un cambio de configuración antes de aplicarlo.,"Validar un cambio de configuración
Solicito validar un cambio de configuración antes de aplicarlo.",tecnologia,solicitud,low,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-002582,Tobi-Bueck/customer-support-tickets,Product Support,Request,high,Consulta sobre una opción de producto,Quisiera entender qué hace una opción antes de solicitarla.,"Consulta sobre una opción de producto
Quisiera entender qué hace una opción antes de solicitarla.",ventas,consulta,low,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-008871,Tobi-Bueck/customer-support-tickets,Returns and Exchanges,Change,medium,Cancelación y devolución,Solicito cancelar una operación y recibir la devolución correspondiente.,"Cancelación y devolución
Solicito cancelar una operación y recibir la devolución correspondiente.",pagos,solicitud,high,True,False,True,immediate_action,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-006056,Tobi-Bueck/customer-support-tickets,Sales and Pre-Sales,Change,low,La propuesta no refleja el alcance,La propuesta no incluye el alcance solicitado y necesito una revisión.,"La propuesta no refleja el alcance
La propuesta no incluye el alcance solicitado y necesito una revisión.",ventas,reclamo,medium,True,False,False,clarification,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-007325,Tobi-Bueck/customer-support-tickets,Service Outages and Maintenance,Incident,high,El servicio se recupera lentamente,"Después de una interrupción, el servicio responde muy lentamente.","El servicio se recupera lentamente
Después de una interrupción, el servicio responde muy lentamente.",tecnologia,incidencia,medium,True,False,False,clarification,True,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-008759,Tobi-Bueck/customer-support-tickets,Technical Support,Change,high,Solicito registros para diagnóstico,Pido los registros disponibles para diagnosticar un fallo de integración.,"Solicito registros para diagnóstico
Pido los registros disponibles para diagnosticar un fallo de integración.",tecnologia,solicitud,medium,False,False,False,standard_action,True,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
