source_id,source_dataset,source_queue,source_type,source_priority,subject_es,body_es,texto,expected_area,expected_intent,expected_urgency,expected_human,expected_security_legal,expected_refund,expected_actionability,expected_technical_repro,curation_note,evaluation_split,expected_route
v5-row-028,catalog-judge/ticket-rubric-v2,otro,otro,low,Mensaje vacío de soporte,…,"Mensaje vacío de soporte
…",otro,otro,low,True,False,False,no_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,review
v5-row-029,catalog-judge/ticket-rubric-v2,otro,consulta,low,Pedido de un tema que no es soporte,"Quiero la receta de un postre, no es un caso de producto ni de cuenta.","Pedido de un tema que no es soporte
Quiero la receta de un postre, no es un caso de producto ni de cuenta.",otro,consulta,low,True,False,False,clarification,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,review
v5-row-030,catalog-judge/ticket-rubric-v2,tecnologia,incidencia,high,Integración que no responde,"La integración con el sistema externo no responde desde esta mañana, sin mensaje de error.","Integración que no responde
La integración con el sistema externo no responde desde esta mañana, sin mensaje de error.",tecnologia,incidencia,high,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,review
v5-row-031,catalog-judge/ticket-rubric-v2,tecnologia,incidencia,medium,Exportar en tres pasos: error 500,En el paso 3 de exportar aparece error 500. Lo repetí dos veces con el mismo resultado.,"Exportar en tres pasos: error 500
En el paso 3 de exportar aparece error 500. Lo repetí dos veces con el mismo resultado.",tecnologia,incidencia,medium,False,False,False,standard_action,True,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,accept
v5-row-032,catalog-judge/ticket-rubric-v2,pagos,solicitud,low,Cambio de medio de pago,"Quiero cambiar el medio de pago de la próxima cuota, aún no vence.","Cambio de medio de pago
Quiero cambiar el medio de pago de la próxima cuota, aún no vence.",pagos,solicitud,low,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,accept
v5-row-033,catalog-judge/ticket-rubric-v2,ventas,reclamo,medium,Promoción que no se aplicó,La promoción vigente no se aplicó al precio de la compra ya cerrada.,"Promoción que no se aplicó
La promoción vigente no se aplicó al precio de la compra ya cerrada.",ventas,reclamo,medium,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,accept
v5-row-034,catalog-judge/ticket-rubric-v2,ventas,solicitud,low,Alta de un servicio nuevo,Quiero dar de alta un servicio adicional que aún no tengo contratado.,"Alta de un servicio nuevo
Quiero dar de alta un servicio adicional que aún no tengo contratado.",ventas,solicitud,low,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,accept
v5-row-035,catalog-judge/ticket-rubric-v2,atencion_cliente,consulta,low,Qué documentación necesito para el alta,Qué documentación necesito para dar de alta el servicio que ya seleccioné.,"Qué documentación necesito para el alta
Qué documentación necesito para dar de alta el servicio que ya seleccioné.",atencion_cliente,consulta,low,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,accept
v5-row-036,catalog-judge/ticket-rubric-v2,logistica,incidencia,high,Paquete entregado a otra persona,El paquete lo recibió otra persona y pido localizar el envío.,"Paquete entregado a otra persona
El paquete lo recibió otra persona y pido localizar el envío.",logistica,incidencia,high,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,review
v5-row-037,catalog-judge/ticket-rubric-v2,logistica,reclamo,high,Solicito reemplazo del artículo dañado,El artículo llegó dañado y solicito el reemplazo por uno equivalente.,"Solicito reemplazo del artículo dañado
El artículo llegó dañado y solicito el reemplazo por uno equivalente.",logistica,reclamo,high,False,False,True,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,review
v5-row-038,catalog-judge/ticket-rubric-v2,seguridad,reclamo,critical,Fraude en un cargo,Hay un cargo que parece fraude: no lo reconocí y pido bloquear el medio de pago hoy.,"Fraude en un cargo
Hay un cargo que parece fraude: no lo reconocí y pido bloquear el medio de pago hoy.",seguridad,reclamo,critical,True,True,True,immediate_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,review
v5-row-039,catalog-judge/ticket-rubric-v2,seguridad,consulta,medium,Consulta de privacidad de datos,"Quiero saber qué datos personales guardan de mi cuenta, es una pregunta de privacidad.","Consulta de privacidad de datos
Quiero saber qué datos personales guardan de mi cuenta, es una pregunta de privacidad.",seguridad,consulta,medium,True,True,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,review
v5-row-040,catalog-judge/ticket-rubric-v2,tecnologia,retroalimentacion,low,Sugerencia de filtro en el listado,"Sugiero un filtro por fecha en el listado, el actual funciona bien.","Sugerencia de filtro en el listado
Sugiero un filtro por fecha en el listado, el actual funciona bien.",tecnologia,retroalimentacion,low,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,accept
v5-row-041,catalog-judge/ticket-rubric-v2,atencion_cliente,consulta,low,Horario de atención,¿Cuál es el horario de atención del canal de soporte?,"Horario de atención
¿Cuál es el horario de atención del canal de soporte?",atencion_cliente,consulta,low,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,accept
v5-row-042,catalog-judge/ticket-rubric-v2,pagos,incidencia,medium,Boleta duplicada tras anular,Anulé un documento y se emitió otro igual; pido corrección del duplicado.,"Boleta duplicada tras anular
Anulé un documento y se emitió otro igual; pido corrección del duplicado.",pagos,incidencia,medium,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,accept
v5-row-043,catalog-judge/ticket-rubric-v2,logistica,solicitud,low,No encuentro el número de pedido,Quiero seguimiento pero no tengo el número de pedido ni la fecha.,"No encuentro el número de pedido
Quiero seguimiento pero no tengo el número de pedido ni la fecha.",logistica,solicitud,low,True,False,False,clarification,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,review
v5-row-044,catalog-judge/ticket-rubric-v2,tecnologia,incidencia,critical,Caída general del servicio,El servicio no carga para nadie en la oficina; parece una caída general.,"Caída general del servicio
El servicio no carga para nadie en la oficina; parece una caída general.",tecnologia,incidencia,critical,True,False,False,immediate_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,review
v5-row-045,catalog-judge/ticket-rubric-v2,pagos,solicitud,low,Corregir un dato de la próxima factura,Hay un error de nombre en la próxima factura y pido corregirlo antes de emitirla.,"Corregir un dato de la próxima factura
Hay un error de nombre en la próxima factura y pido corregirlo antes de emitirla.",pagos,solicitud,low,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,accept
v5-row-046,catalog-judge/ticket-rubric-v2,logistica,retroalimentacion,low,"El envío llegó bien, solo confirmo","El envío llegó completo, solo confirmo recepción. Gracias.","El envío llegó bien, solo confirmo
El envío llegó completo, solo confirmo recepción. Gracias.",logistica,retroalimentacion,low,False,False,False,no_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,review
v5-row-047,catalog-judge/ticket-rubric-v2,atencion_cliente,solicitud,high,Conflicto entre dos titulares,Mi socio y yo damos instrucciones opuestas sobre cancelar o mantener el servicio.,"Conflicto entre dos titulares
Mi socio y yo damos instrucciones opuestas sobre cancelar o mantener el servicio.",atencion_cliente,solicitud,high,True,False,False,clarification,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,review
v5-row-048,catalog-judge/ticket-rubric-v2,ventas,reclamo,high,Cotización vs factura,La factura no respeta los precios de la cotización firmada.,"Cotización vs factura
La factura no respeta los precios de la cotización firmada.",ventas,reclamo,high,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,review
v5-row-049,catalog-judge/ticket-rubric-v2,tecnologia,consulta,low,Pasos para conectar un dispositivo,¿Cuáles son los pasos para conectar el dispositivo al servicio ya activo?,"Pasos para conectar un dispositivo
¿Cuáles son los pasos para conectar el dispositivo al servicio ya activo?",tecnologia,consulta,low,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,accept
v5-row-050,catalog-judge/ticket-rubric-v2,logistica,reclamo,medium,Reclamo de demora sin reembolso,"El envío se retrasó tres días y quiero que quede registrado el reclamo, sin pedir dinero de vuelta.","Reclamo de demora sin reembolso
El envío se retrasó tres días y quiero que quede registrado el reclamo, sin pedir dinero de vuelta.",logistica,reclamo,medium,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,accept
