source_id,source_dataset,source_queue,source_type,source_priority,subject_es,body_es,texto,expected_area,expected_intent,expected_urgency,expected_human,expected_security_legal,expected_refund,expected_actionability,expected_technical_repro,curation_note,evaluation_split,expected_route
v6-row-016,catalog-judge/ticket-rubric-v2,logistica,reclamo,high,Material del evento retenido en almacén,El paquete con el material del evento de hoy sigue retenido y la actividad empieza en la tarde. Pido que lo liberen y lo despachen de inmediato.,"Material del evento retenido en almacén
El paquete con el material del evento de hoy sigue retenido y la actividad empieza en la tarde. Pido que lo liberen y lo despachen de inmediato.",logistica,reclamo,high,False,False,False,immediate_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola logistica.,confirmation,review
v6-row-017,catalog-judge/ticket-rubric-v2,logistica,incidencia,low,Paquete que debió llegar ayer,El paquete debió llegar ayer y no aparece. No tengo el número a la mano y pido que me ayuden a ubicarlo.,"Paquete que debió llegar ayer
El paquete debió llegar ayer y no aparece. No tengo el número a la mano y pido que me ayuden a ubicarlo.",logistica,incidencia,low,False,False,False,clarification,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola logistica.,confirmation,accept
v6-row-018,catalog-judge/ticket-rubric-v2,logistica,incidencia,medium,Aviso de entrega sin paquete a la vista,"Dejaron un aviso de entrega, pero el paquete que esperaba no aparece por ningún lado. No sé si se trata del mismo envío y pido que lo aclaren.","Aviso de entrega sin paquete a la vista
Dejaron un aviso de entrega, pero el paquete que esperaba no aparece por ningún lado. No sé si se trata del mismo envío y pido que lo aclaren.",logistica,incidencia,medium,True,False,False,clarification,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola logistica.,confirmation,review
v6-row-019,catalog-judge/ticket-rubric-v2,logistica,solicitud,medium,Entrega especial fuera de la ruta semanal,Solicito coordinar una entrega en un caserío fuera de la ruta semanal. Sé que requiere una aprobación excepcional y pido que un especialista evalúe el caso.,"Entrega especial fuera de la ruta semanal
Solicito coordinar una entrega en un caserío fuera de la ruta semanal. Sé que requiere una aprobación excepcional y pido que un especialista evalúe el caso.",logistica,solicitud,medium,True,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola logistica.,confirmation,review
v6-row-020,catalog-judge/ticket-rubric-v2,logistica,reclamo,high,Versiones distintas sobre el pedido 6642,"El sistema marca el pedido 6642 como entregado, pero en el almacén nadie lo recibió. El repartidor dice que lo dejó y el encargado dice que no llegó. El despacho de hoy depende de ese pedido, así que pido que aclaren qué pasó.","Versiones distintas sobre el pedido 6642
El sistema marca el pedido 6642 como entregado, pero en el almacén nadie lo recibió. El repartidor dice que lo dejó y el encargado dice que no llegó. El despacho de hoy depende de ese pedido, así que pido que aclaren qué pasó.",logistica,reclamo,high,True,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola logistica.,confirmation,review
v6-row-021,catalog-judge/ticket-rubric-v2,logistica,retroalimentacion,low,Reparto puntual en mi zona,En general el reparto llega bien por mi zona y el servicio es puntual. Solo quería dejar constancia de ello.,"Reparto puntual en mi zona
En general el reparto llega bien por mi zona y el servicio es puntual. Solo quería dejar constancia de ello.",logistica,retroalimentacion,low,False,False,False,no_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola logistica.,confirmation,review
v6-row-022,catalog-judge/ticket-rubric-v2,pagos,reclamo,high,Importe repetido en el recibo del mes,"El recibo del servicio trae dos veces el importe del mes. Debo pagar hoy y no quiero pagar de más, así que solicito la devolución del cobro repetido.","Importe repetido en el recibo del mes
El recibo del servicio trae dos veces el importe del mes. Debo pagar hoy y no quiero pagar de más, así que solicito la devolución del cobro repetido.",pagos,reclamo,high,False,False,True,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola pagos.,confirmation,review
v6-row-023,catalog-judge/ticket-rubric-v2,pagos,consulta,low,Concepto de mantenimiento en el recibo,"Necesito que me expliquen a qué corresponde el concepto de mantenimiento del recibo de este mes, antes de cancelarlo.","Concepto de mantenimiento en el recibo
Necesito que me expliquen a qué corresponde el concepto de mantenimiento del recibo de este mes, antes de cancelarlo.",pagos,consulta,low,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola pagos.,confirmation,accept
v6-row-024,catalog-judge/ticket-rubric-v2,pagos,solicitud,low,Actualización del titular del recibo,"Solicito actualizar el nombre del titular en los datos del próximo recibo, antes de que lo emitan.","Actualización del titular del recibo
Solicito actualizar el nombre del titular en los datos del próximo recibo, antes de que lo emitan.",pagos,solicitud,low,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola pagos.,confirmation,accept
v6-row-025,catalog-judge/ticket-rubric-v2,pagos,solicitud,low,Pasos para solicitar un reembolso,Quiero pedir el reembolso de un pago que dupliqué por error y necesito saber cuál es el paso para solicitarlo.,"Pasos para solicitar un reembolso
Quiero pedir el reembolso de un pago que dupliqué por error y necesito saber cuál es el paso para solicitarlo.",pagos,solicitud,low,False,False,True,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola pagos.,confirmation,accept
v6-row-026,catalog-judge/ticket-rubric-v2,pagos,reclamo,low,Importe distinto a la tarifa contratada,El importe del recibo difiere de la tarifa que me indicaron al contratar. Pido que me envíen el desglose para revisarlo.,"Importe distinto a la tarifa contratada
El importe del recibo difiere de la tarifa que me indicaron al contratar. Pido que me envíen el desglose para revisarlo.",pagos,reclamo,low,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola pagos.,confirmation,accept
v6-row-027,catalog-judge/ticket-rubric-v2,pagos,consulta,low,Duda con un descuento del recibo,Vi algo distinto en un descuento del recibo y no sé a qué corresponde ni de qué mes es. Quisiera que me lo aclaren.,"Duda con un descuento del recibo
Vi algo distinto en un descuento del recibo y no sé a qué corresponde ni de qué mes es. Quisiera que me lo aclaren.",pagos,consulta,low,True,False,False,clarification,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola pagos.,confirmation,review
v6-row-028,catalog-judge/ticket-rubric-v2,pagos,reclamo,high,Devolución del último pago,"Mi familiar y yo dimos indicaciones distintas sobre la devolución del último pago: él pidió que vaya a su cuenta y yo, como titular, pido que vaya a la mía. Pido que la procesen solo a la cuenta del titular.","Devolución del último pago
Mi familiar y yo dimos indicaciones distintas sobre la devolución del último pago: él pidió que vaya a su cuenta y yo, como titular, pido que vaya a la mía. Pido que la procesen solo a la cuenta del titular.",pagos,reclamo,high,True,False,True,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola pagos.,confirmation,review
v6-row-029,catalog-judge/ticket-rubric-v2,pagos,retroalimentacion,low,Atención ágil en ventanilla,La atención en la ventanilla fue cordial y el trámite fue rápido. Dejo este comentario como constancia.,"Atención ágil en ventanilla
La atención en la ventanilla fue cordial y el trámite fue rápido. Dejo este comentario como constancia.",pagos,retroalimentacion,low,False,False,False,no_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola pagos.,confirmation,review
v6-row-030,catalog-judge/ticket-rubric-v2,ventas,consulta,low,Precio del paquete para oficina,"Quisiera conocer el precio vigente del paquete para oficina de quince puestos, incluyendo la instalación.","Precio del paquete para oficina
Quisiera conocer el precio vigente del paquete para oficina de quince puestos, incluyendo la instalación.",ventas,consulta,low,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola ventas.,confirmation,accept
v6-row-031,catalog-judge/ticket-rubric-v2,ventas,solicitud,medium,Cotización por veinte sillas,"Solicito una cotización formal por veinte sillas para la sala de reuniones, porque la compra se define esta semana.","Cotización por veinte sillas
Solicito una cotización formal por veinte sillas para la sala de reuniones, porque la compra se define esta semana.",ventas,solicitud,medium,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola ventas.,confirmation,accept
v6-row-032,catalog-judge/ticket-rubric-v2,ventas,reclamo,medium,Modelo distinto al de la orden 2204,Pedí el modelo con apoyabrazos y llegó el modelo básico. Solicito el cambio por el modelo que figura en la orden 2204.,"Modelo distinto al de la orden 2204
Pedí el modelo con apoyabrazos y llegó el modelo básico. Solicito el cambio por el modelo que figura en la orden 2204.",ventas,reclamo,medium,False,False,True,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola ventas.,confirmation,accept
v6-row-033,catalog-judge/ticket-rubric-v2,ventas,incidencia,medium,Precio distinto entre catálogo y caja,"La etiqueta del catálogo indica un precio, pero al pasar por caja sale otro. No anoté de qué producto se trataba y pido que lo verifiquen.","Precio distinto entre catálogo y caja
La etiqueta del catálogo indica un precio, pero al pasar por caja sale otro. No anoté de qué producto se trataba y pido que lo verifiquen.",ventas,incidencia,medium,False,False,False,clarification,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola ventas.,confirmation,accept
v6-row-034,catalog-judge/ticket-rubric-v2,ventas,retroalimentacion,low,Sugerencia sobre la garantía extendida,Sugiero que la garantía extendida del televisor de la sala incluya una visita preventiva al año. Dejo la idea para que la evalúen.,"Sugerencia sobre la garantía extendida
Sugiero que la garantía extendida del televisor de la sala incluya una visita preventiva al año. Dejo la idea para que la evalúen.",ventas,retroalimentacion,low,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola ventas.,confirmation,accept
v6-row-035,catalog-judge/ticket-rubric-v2,seguridad,incidencia,critical,Alerta de ingreso que no reconozco,Llegó una alerta de ingreso a mi cuenta desde un lugar donde no estuve. No fui yo y pido que bloqueen el acceso de inmediato.,"Alerta de ingreso que no reconozco
Llegó una alerta de ingreso a mi cuenta desde un lugar donde no estuve. No fui yo y pido que bloqueen el acceso de inmediato.",seguridad,incidencia,critical,False,True,False,immediate_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola seguridad.,confirmation,review
v6-row-036,catalog-judge/ticket-rubric-v2,seguridad,reclamo,critical,Cargo no autorizado en mi tarjeta,Aparece un cargo que no autoricé y temo que usaron mi tarjeta sin permiso. Pido que la bloqueen y revisen el movimiento ahora mismo.,"Cargo no autorizado en mi tarjeta
Aparece un cargo que no autoricé y temo que usaron mi tarjeta sin permiso. Pido que la bloqueen y revisen el movimiento ahora mismo.",seguridad,reclamo,critical,False,True,False,immediate_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola seguridad.,confirmation,review
v6-row-037,catalog-judge/ticket-rubric-v2,seguridad,solicitud,medium,Activación de la verificación en dos pasos,Solicito activar la verificación en dos pasos para mi cuenta y apoyo para configurarla en mi equipo.,"Activación de la verificación en dos pasos
Solicito activar la verificación en dos pasos para mi cuenta y apoyo para configurarla en mi equipo.",seguridad,solicitud,medium,False,True,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola seguridad.,confirmation,review
v6-row-038,catalog-judge/ticket-rubric-v2,seguridad,solicitud,high,Supresión de datos no esenciales,Me opongo al uso de mis datos para fines adicionales y solicito suprimir los datos no esenciales dentro del plazo vigente. Sé que requiere revisión legal y pido que un especialista tramite el caso.,"Supresión de datos no esenciales
Me opongo al uso de mis datos para fines adicionales y solicito suprimir los datos no esenciales dentro del plazo vigente. Sé que requiere revisión legal y pido que un especialista tramite el caso.",seguridad,solicitud,high,True,True,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola seguridad.,confirmation,review
v6-row-039,catalog-judge/ticket-rubric-v2,atencion_cliente,consulta,low,Estado del caso 310,Quisiera saber en qué estado quedó el caso 310 que reporté la semana pasada sobre la atención recibida.,"Estado del caso 310
Quisiera saber en qué estado quedó el caso 310 que reporté la semana pasada sobre la atención recibida.",atencion_cliente,consulta,low,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola atencion_cliente.,confirmation,accept
v6-row-040,catalog-judge/ticket-rubric-v2,atencion_cliente,solicitud,low,Constancia de la atención del caso 415,"Solicito una constancia escrita de la atención brindada en el caso 415, para presentarla en mi centro de trabajo.","Constancia de la atención del caso 415
Solicito una constancia escrita de la atención brindada en el caso 415, para presentarla en mi centro de trabajo.",atencion_cliente,solicitud,low,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola atencion_cliente.,confirmation,accept
v6-row-041,catalog-judge/ticket-rubric-v2,atencion_cliente,reclamo,high,No retomaron mi reclamo,Me dijeron que me llamarían ayer por mi reclamo y nadie se comunicó. El tema sigue pendiente y necesito que lo resuelvan hoy.,"No retomaron mi reclamo
Me dijeron que me llamarían ayer por mi reclamo y nadie se comunicó. El tema sigue pendiente y necesito que lo resuelvan hoy.",atencion_cliente,reclamo,high,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola atencion_cliente.,confirmation,review
v6-row-042,catalog-judge/ticket-rubric-v2,atencion_cliente,consulta,low,Consulta sobre el avance de mi trámite,"Quisiera saber cómo va mi trámite, pero no tengo a la mano el número del caso. Pido que me orienten para ubicarlo.","Consulta sobre el avance de mi trámite
Quisiera saber cómo va mi trámite, pero no tengo a la mano el número del caso. Pido que me orienten para ubicarlo.",atencion_cliente,consulta,low,False,False,False,clarification,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola atencion_cliente.,confirmation,accept
v6-row-043,catalog-judge/ticket-rubric-v2,atencion_cliente,solicitud,medium,Cita en horario nocturno,Solicito reprogramar mi cita en horario nocturno por motivos de trabajo. Sé que está fuera de la política y pido que un especialista autorice la excepción.,"Cita en horario nocturno
Solicito reprogramar mi cita en horario nocturno por motivos de trabajo. Sé que está fuera de la política y pido que un especialista autorice la excepción.",atencion_cliente,solicitud,medium,True,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola atencion_cliente.,confirmation,review
v6-row-044,catalog-judge/ticket-rubric-v2,atencion_cliente,reclamo,high,Respuesta que no corresponde al caso 520,La explicación que recibí por el caso 520 no corresponde a lo que pregunté y el problema continúa. Pido una solución hoy.,"Respuesta que no corresponde al caso 520
La explicación que recibí por el caso 520 no corresponde a lo que pregunté y el problema continúa. Pido una solución hoy.",atencion_cliente,reclamo,high,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola atencion_cliente.,confirmation,review
v6-row-045,catalog-judge/ticket-rubric-v2,atencion_cliente,consulta,medium,Horarios de la sede del centro,Necesito saber los horarios de atención de la sede del centro para acercarme esta semana con los documentos del caso 530.,"Horarios de la sede del centro
Necesito saber los horarios de atención de la sede del centro para acercarme esta semana con los documentos del caso 530.",atencion_cliente,consulta,medium,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola atencion_cliente.,confirmation,accept
v6-row-046,catalog-judge/ticket-rubric-v2,rrhh,consulta,low,Documentos para la asignación familiar,Quisiera saber qué documentos necesita el personal nuevo para el trámite de asignación familiar.,"Documentos para la asignación familiar
Quisiera saber qué documentos necesita el personal nuevo para el trámite de asignación familiar.",rrhh,consulta,low,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola rrhh.,confirmation,accept
v6-row-047,catalog-judge/ticket-rubric-v2,rrhh,solicitud,medium,Constancia de trabajo con antigüedad,Solicito una constancia de trabajo con antigüedad y cargo para presentarla esta semana.,"Constancia de trabajo con antigüedad
Solicito una constancia de trabajo con antigüedad y cargo para presentarla esta semana.",rrhh,solicitud,medium,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola rrhh.,confirmation,accept
v6-row-048,catalog-judge/ticket-rubric-v2,rrhh,solicitud,low,Fechas de mi descanso pendientes,Primero pedí adelantar mi descanso a la primera semana y luego indiqué que mejor lo cancelaba. Ahora no sé en qué quedó y pido que me confirmen cuál solicitud vale.,"Fechas de mi descanso pendientes
Primero pedí adelantar mi descanso a la primera semana y luego indiqué que mejor lo cancelaba. Ahora no sé en qué quedó y pido que me confirmen cuál solicitud vale.",rrhh,solicitud,low,True,False,False,clarification,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola rrhh.,confirmation,review
v6-row-049,catalog-judge/ticket-rubric-v2,otro,otro,low,Sin comentarios,No tengo nada que agregar por el momento.,"Sin comentarios
No tengo nada que agregar por el momento.",otro,otro,low,True,False,False,no_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola otro.,confirmation,review
v6-row-050,catalog-judge/ticket-rubric-v2,otro,consulta,low,Horario de la biblioteca municipal,Quisiera saber el horario de atención de la biblioteca municipal los fines de semana.,"Horario de la biblioteca municipal
Quisiera saber el horario de atención de la biblioteca municipal los fines de semana.",otro,consulta,low,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola otro.,confirmation,review
