series_id,store_nbr,family,avg_sales,sales_cv,active_day_share,promo_share,recent_vs_previous_ratio,rows_used,feature_window_start,feature_window_end,evaluation_split,demand_drop_alert,replenishment_candidate,policy_handling_risk,policy_exception_needed,expected_series_decision,expected_handling_risk,expected_exception_needed,expected_route,source_dataset,feature_version
store_14__BEVERAGES,14,BEVERAGES,963.336698,0.534995,0.974466,0.460808,1.163934,1684,2017-06-21,2017-08-15,dev,False,True,False,False,include,False,False,accept,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_25__BREAD/BAKERY,25,BREAD/BAKERY,287.69693,0.576925,0.960808,0.393705,1.30753,1684,2017-06-21,2017-08-15,dev,False,True,False,False,include,False,False,accept,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_20__BREAD/BAKERY,20,BREAD/BAKERY,256.787664,1.112472,0.540974,0.388955,0.976146,1684,2017-06-21,2017-08-15,dev,False,False,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_05__CELEBRATION,5,CELEBRATION,15.543943,0.985878,0.603325,0.050475,1.274686,1684,2017-06-21,2017-08-15,dev,False,True,False,False,include,False,False,accept,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_32__CLEANING,32,CLEANING,451.12114,0.849327,0.997031,0.508314,0.610966,1684,2017-06-21,2017-08-15,dev,True,False,True,True,review,True,True,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_12__CLEANING,12,CLEANING,771.797506,0.387849,0.961401,0.432304,1.526792,1684,2017-06-21,2017-08-15,dev,False,True,False,False,include,False,False,accept,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_02__DAIRY,2,DAIRY,853.24228,0.328039,0.997031,0.589074,0.897601,1684,2017-06-21,2017-08-15,dev,False,False,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_05__DELI,5,DELI,246.597982,0.255519,0.997031,0.527316,0.969917,1684,2017-06-21,2017-08-15,dev,False,False,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_37__AUTOMOTIVE,37,AUTOMOTIVE,4.049287,0.999979,0.913302,0.004751,0.710345,1684,2017-06-21,2017-08-15,holdout,True,False,False,True,review,False,True,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_04__AUTOMOTIVE,4,AUTOMOTIVE,4.018409,0.719535,0.934086,0.005938,1.675676,1684,2017-06-21,2017-08-15,dev,False,True,False,False,include,False,False,accept,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_21__BEAUTY,21,BEAUTY,2.171615,1.52666,0.432898,0.119359,0.7,1684,2017-06-21,2017-08-15,dev,True,False,True,True,review,True,True,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_05__BEAUTY,5,BEAUTY,5.15677,0.606907,0.978029,0.143705,1.310811,1684,2017-06-21,2017-08-15,dev,False,True,False,False,include,False,False,accept,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_16__BEVERAGES,16,BEVERAGES,1084.244656,0.53074,0.997031,0.513064,1.101166,1684,2017-06-21,2017-08-15,dev,False,True,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_35__BREAD/BAKERY,35,BREAD/BAKERY,93.004157,0.390511,0.997031,0.432304,1.134055,1684,2017-06-21,2017-08-15,holdout,False,True,False,False,include,False,False,accept,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_21__BREAD/BAKERY,21,BREAD/BAKERY,218.382423,1.284027,0.445368,0.342637,0.949321,1684,2017-06-21,2017-08-15,dev,False,False,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_10__CELEBRATION,10,CELEBRATION,2.62114,1.454433,0.542162,0.008907,1.6375,1684,2017-06-21,2017-08-15,dev,False,True,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_13__CLEANING,13,CLEANING,779.694774,0.484195,0.997031,0.480404,1.133494,1684,2017-06-21,2017-08-15,dev,False,True,False,False,include,False,False,accept,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_03__DAIRY,3,DAIRY,2040.885986,0.315006,0.997031,0.612827,0.910914,1684,2017-06-21,2017-08-15,dev,False,False,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_06__DELI,6,DELI,341.662913,0.324536,0.997031,0.523753,0.953882,1684,2017-06-21,2017-08-15,dev,False,False,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_06__AUTOMOTIVE,6,AUTOMOTIVE,5.361045,0.700365,0.968527,0.008314,1.728,1684,2017-06-21,2017-08-15,dev,False,True,False,False,include,False,False,accept,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_31__BEAUTY,31,BEAUTY,2.578979,0.902184,0.85095,0.109857,0.634783,1684,2017-06-21,2017-08-15,dev,True,False,False,True,review,False,True,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_07__BEAUTY,7,BEAUTY,3.647268,0.639191,0.950119,0.129454,1.15,1684,2017-06-21,2017-08-15,dev,False,True,False,False,include,False,False,accept,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_20__BEVERAGES,20,BEVERAGES,1639.481591,1.221653,0.540974,0.486342,1.19566,1684,2017-06-21,2017-08-15,dev,False,True,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_36__BREAD/BAKERY,36,BREAD/BAKERY,455.671615,0.399836,0.922209,0.442993,1.184145,1684,2017-06-21,2017-08-15,holdout,False,True,False,False,include,False,False,accept,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_22__BREAD/BAKERY,22,BREAD/BAKERY,53.785629,1.319765,0.399644,0.308195,1.000232,1684,2017-06-21,2017-08-15,dev,False,False,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_12__CELEBRATION,12,CELEBRATION,6.142518,1.359349,0.600356,0.016033,1.304688,1684,2017-06-21,2017-08-15,dev,False,True,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_14__CLEANING,14,CLEANING,1091.749406,0.464057,0.974466,0.444181,1.459114,1684,2017-06-21,2017-08-15,dev,False,True,False,False,include,False,False,accept,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_04__DAIRY,4,DAIRY,789.30285,0.35432,0.997031,0.604513,0.897146,1684,2017-06-21,2017-08-15,dev,False,False,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_20__DELI,20,DELI,326.471199,1.070748,0.540974,0.390143,0.950381,1684,2017-06-21,2017-08-15,dev,False,False,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_11__AUTOMOTIVE,11,AUTOMOTIVE,6.690024,0.633988,0.978622,0.046318,1.217617,1684,2017-06-21,2017-08-15,dev,False,True,False,False,include,False,False,accept,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_33__BEAUTY,33,BEAUTY,1.10095,1.229754,0.582542,0.06057,0.650943,1684,2017-06-21,2017-08-15,holdout,True,False,True,True,review,True,True,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_21__BEVERAGES,21,BEVERAGES,1166.147268,1.253554,0.445368,0.428741,1.159613,1684,2017-06-21,2017-08-15,dev,False,True,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_40__BREAD/BAKERY,40,BREAD/BAKERY,363.631829,0.313272,0.997031,0.42696,1.161669,1684,2017-06-21,2017-08-15,holdout,False,True,False,False,include,False,False,accept,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_29__BREAD/BAKERY,29,BREAD/BAKERY,306.592637,1.062238,0.52019,0.398456,1.099634,1684,2017-06-21,2017-08-15,dev,False,False,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_13__CELEBRATION,13,CELEBRATION,4.106295,1.666275,0.578979,0.010689,1.358491,1684,2017-06-21,2017-08-15,dev,False,True,True,True,review,True,True,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_20__CLEANING,20,CLEANING,702.832542,1.126875,0.540974,0.471496,1.563253,1684,2017-06-21,2017-08-15,dev,False,True,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_05__DAIRY,5,DAIRY,517.388955,0.283246,0.997031,0.605701,0.959186,1684,2017-06-21,2017-08-15,dev,False,False,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_21__DELI,21,DELI,144.407263,1.260495,0.445368,0.343824,0.970154,1684,2017-06-21,2017-08-15,dev,False,False,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_12__AUTOMOTIVE,12,AUTOMOTIVE,4.752969,0.699667,0.928147,0.019002,1.195804,1684,2017-06-21,2017-08-15,dev,False,True,False,False,include,False,False,accept,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_36__BEAUTY,36,BEAUTY,1.346793,1.199584,0.611639,0.101544,0.613636,1684,2017-06-21,2017-08-15,holdout,True,False,True,True,review,True,True,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_22__BEVERAGES,22,BEVERAGES,509.435273,1.332674,0.399644,0.358076,1.119762,1684,2017-06-21,2017-08-15,dev,False,True,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_52__BREAD/BAKERY,52,BREAD/BAKERY,57.910236,3.746716,0.070071,0.0481,1.118307,1684,2017-06-21,2017-08-15,holdout,False,False,True,True,exclude,True,True,block,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_39__BREAD/BAKERY,39,BREAD/BAKERY,721.942993,0.238675,0.997031,0.510689,0.832107,1684,2017-06-21,2017-08-15,holdout,False,False,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_14__CELEBRATION,14,CELEBRATION,4.674584,1.313522,0.584917,0.014252,1.147059,1684,2017-06-21,2017-08-15,dev,False,True,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_21__CLEANING,21,CLEANING,571.384798,1.330751,0.445368,0.394893,1.237907,1684,2017-06-21,2017-08-15,dev,False,True,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_06__DAIRY,6,DAIRY,957.264846,0.371114,0.997031,0.624109,0.88212,1684,2017-06-21,2017-08-15,dev,False,False,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_22__DELI,22,DELI,64.901425,1.312223,0.399644,0.298694,0.889217,1684,2017-06-21,2017-08-15,dev,False,False,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_15__AUTOMOTIVE,15,AUTOMOTIVE,2.684086,0.834958,0.864608,0.016033,1.15625,1684,2017-06-21,2017-08-15,dev,False,True,False,False,include,False,False,accept,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_39__BEAUTY,39,BEAUTY,3.792755,0.818696,0.914489,0.124109,0.739837,1684,2017-06-21,2017-08-15,holdout,True,False,False,True,review,False,True,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_25__BEVERAGES,25,BEVERAGES,1760.059976,0.816253,0.960808,0.575416,1.347492,1684,2017-06-21,2017-08-15,dev,False,True,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_15__CELEBRATION,15,CELEBRATION,3.019002,1.47174,0.544537,0.00772,1.128571,1684,2017-06-21,2017-08-15,dev,False,True,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_22__CLEANING,22,CLEANING,247.299881,1.355555,0.399644,0.340855,1.271926,1684,2017-06-21,2017-08-15,dev,False,True,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_07__DAIRY,7,DAIRY,1225.24228,0.274792,0.997031,0.526128,0.916861,1684,2017-06-21,2017-08-15,dev,False,False,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_29__DELI,29,DELI,146.262659,1.045945,0.52019,0.374703,0.967463,1684,2017-06-21,2017-08-15,dev,False,False,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_23__AUTOMOTIVE,23,AUTOMOTIVE,2.301069,0.812085,0.847981,0.006532,1.148148,1684,2017-06-21,2017-08-15,dev,False,True,False,False,include,False,False,accept,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_53__BEAUTY,53,BEAUTY,3.355107,1.140601,0.654988,0.146675,0.688312,1684,2017-06-21,2017-08-15,holdout,True,False,True,True,review,True,True,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_30__BEVERAGES,30,BEVERAGES,931.34323,0.507971,0.983373,0.498219,1.174207,1684,2017-06-21,2017-08-15,dev,False,True,False,False,include,False,False,accept,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_18__CELEBRATION,18,CELEBRATION,4.666271,9.351159,0.519596,0.004751,1.144144,1684,2017-06-21,2017-08-15,dev,False,True,True,True,review,True,True,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_25__CLEANING,25,CLEANING,468.044537,0.622108,0.960808,0.554632,1.221496,1684,2017-06-21,2017-08-15,dev,False,True,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_08__DAIRY,8,DAIRY,1409.627672,0.304082,0.997031,0.611045,0.908084,1684,2017-06-21,2017-08-15,dev,False,False,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_42__DELI,42,DELI,68.155053,1.236981,0.428741,0.321259,0.90864,1684,2017-06-21,2017-08-15,holdout,False,False,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_25__AUTOMOTIVE,25,AUTOMOTIVE,2.070665,1.101252,0.748812,0.007126,1.268293,1684,2017-06-21,2017-08-15,dev,False,True,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_32__BEVERAGES,32,BEVERAGES,600.533848,0.72655,0.997031,0.545724,1.282666,1684,2017-06-21,2017-08-15,dev,False,True,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_19__CELEBRATION,19,CELEBRATION,5.261876,1.760807,0.595606,0.008314,1.266234,1684,2017-06-21,2017-08-15,dev,False,True,True,True,review,True,True,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_39__CLEANING,39,CLEANING,1295.07304,0.380681,0.997031,0.533254,1.431231,1684,2017-06-21,2017-08-15,holdout,False,True,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_09__DAIRY,9,DAIRY,745.798694,0.4411,0.997031,0.542162,0.878807,1684,2017-06-21,2017-08-15,dev,False,False,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_44__DELI,44,DELI,596.611662,0.34905,0.997031,0.508314,0.932883,1684,2017-06-21,2017-08-15,holdout,False,False,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_35__BEVERAGES,35,BEVERAGES,1116.998812,0.545745,0.997031,0.669834,1.118674,1684,2017-06-21,2017-08-15,holdout,False,True,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_21__CELEBRATION,21,CELEBRATION,3.37114,1.793807,0.432898,0.009501,1.335443,1684,2017-06-21,2017-08-15,dev,False,True,True,True,review,True,True,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_20__DAIRY,20,DAIRY,409.330166,1.123312,0.540974,0.441211,0.898104,1684,2017-06-21,2017-08-15,dev,False,False,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_45__DELI,45,DELI,643.192883,0.372628,0.997031,0.522565,0.966502,1684,2017-06-21,2017-08-15,holdout,False,False,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_36__BEVERAGES,36,BEVERAGES,1962.102138,0.590784,0.922209,0.609857,1.350082,1684,2017-06-21,2017-08-15,holdout,False,True,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_22__CELEBRATION,22,CELEBRATION,3.608076,1.904634,0.393112,0.016033,1.354497,1684,2017-06-21,2017-08-15,dev,False,True,True,True,review,True,True,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_21__DAIRY,21,DAIRY,250.485154,1.258832,0.445368,0.369952,0.964594,1684,2017-06-21,2017-08-15,dev,False,False,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_46__DELI,46,DELI,809.362045,0.395666,0.997031,0.564727,1.012643,1684,2017-06-21,2017-08-15,holdout,False,False,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_40__BEVERAGES,40,BEVERAGES,2306.49228,0.629125,0.997031,0.566508,1.197981,1684,2017-06-21,2017-08-15,holdout,False,True,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
